,president,america_ct,america_cans_ct
0,adams-j,5,8
1,adams-jq,0,0
2,buchanan,1,3
3,buren,1,2
4,bush-g,7,11
5,bush-gw,11,20
6,carter,2,5
7,cleveland,0,4
8,clinton,18,31
9,coolidge,8,11
10,eisenhower,3,6
11,garfield,1,2
12,grant,0,0
13,harding,15,24
14,harrison-b,0,6
15,harrison-w,0,7
16,hayes,0,1
17,hoover,6,13
18,jackson,0,0
19,jefferson,0,0
20,johnson-lb,3,10
21,kennedy,2,6
22,lincoln,0,2
23,madison,0,0
24,mckinley,0,9
25,monroe,0,1
26,nixon,6,10
27,obama,10,15
28,pierce,0,2
29,polk,0,0
30,reagan,17,36
31,roosevelt-fd,0,2
32,roosevelt-t,0,0
33,taft,4,12
34,taylor,0,2
35,truman,0,4
36,trump,20,35
37,washington,0,2
38,wilson,0,0
